启动 API 模式爬虫...
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/tutorial/query-documents/#specify-and-as-well-as-or-conditions
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/reference/operator/query/regex/#mongodb-query-op.-regex
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/tutorial/query-documents/#query-documents-with-mongodb-atlas
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/tutorial/query-documents/#in-the-mongodb-atlas-ui--go-to-the-clusters-page-for-your-project.
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/tutorial/query-documents/#navigate-to-the-collection
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/tutorial/query-documents/#specify-the-filter-field
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/core/csfle/reference/supported-operations/#std-label-csfle-supported-query-operators
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/tutorial/query-documents/#click-apply
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/tutorial/query-documents/#additional-query-tutorials
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/tutorial/query-documents/#behavior
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/tutorial/query-documents/#cursor
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/tutorial/iterate-a-cursor/
正在爬取 (深度 1): http://mongodb.github.io/mongo-scala-driver/2.1/reference/observables/
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/tutorial/query-documents/#concurrent-updates-while-using-a-cursor
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/core/read-isolation-consistency-recency/#std-label-read-isolation-consistency-recency
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/tutorial/query-documents/#read-isolation
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/replication/#std-label-replication
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/sharding/#std-label-sharding-background
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/tutorial/query-documents/#query-result-format
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/core/cursors/#std-label-cursors
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/tutorial/iterate-a-cursor/#std-label-read-operations-cursors
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/tutorial/query-documents/#additional-methods-and-options
启动 API 模式爬虫...
正在爬取 (深度 0): https://www.mongodb.com/docs/manual/tutorial/query-documents/
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/tutorial/query-documents/ https:/www.mongodb.com/products
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/core/document/
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/core/databases-and-collections/
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/reference/database-users/
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/crud/
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/tutorial/insert-documents/
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/tutorial/query-embedded-documents/
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/tutorial/query-arrays/
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/tutorial/query-array-of-documents/
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/tutorial/project-fields-from-query-results/
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/tutorial/query-for-null-fields/
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/tutorial/query-documents/specify-query-timeout/
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/tutorial/long-running-queries/
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/tutorial/update-documents/
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/tutorial/remove-documents/
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/core/bulk-write-operations/
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/core/retryable-writes/
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/core/retryable-reads/
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/reference/sql-comparison/
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/natural-language-to-mongodb/
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/text-search/
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/geospatial-queries/
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/reference/read-concern/
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/reference/write-concern/
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/core/crud/
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/indexes/
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/data-modeling/
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/aggregation/
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/core/timeseries-collections/
无法访问 URL https://www.mongodb.com/docs/manual/core/timeseries-collections/: HTTPSConnectionPool(host='www.mongodb.com', port=443): Max retries exceeded with url: /docs/manual/core/timeseries-collections/ (Caused by SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:992)')))
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/changeStreams/
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/core/transactions/
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/core/security-in-use-encryption/
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/administration/production-checklist-development/
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/administration/analyzing-mongodb-performance/
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/reference/
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/support/
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/release-notes/
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/tutorial/query-documents/#query-documents
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/reference/glossary/#std-term-query-predicate
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/tutorial/query-documents/#std-label-query-documents-atlas-ui
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/reference/method/db.collection.find/#mongodb-method-db.collection.find
正在爬取 (深度 1): https://www.mongodb.com/docs/php-library/upcoming/reference/method/MongoDBCollection-find/#mongodb-phpmethod-phpmethod.MongoDB-Collection--find--
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/tutorial/insert-documents/#std-label-write-op-insert
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/tutorial/query-documents/#select-all-documents-in-a-collection
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/tutorial/query-documents/#specify-equality-condition
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/core/document/#std-label-document-query-filter
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/tutorial/query-documents/#specify-conditions-using-query-operators
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/reference/mql/query-predicates/#std-label-query-selectors
无法访问 URL https://www.mongodb.com/docs/manual/reference/mql/query-predicates/#std-label-query-selectors: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/reference/operator/query/or/#mongodb-query-op.-or
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/reference/operator/query/in/#mongodb-query-op.-in
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/reference/mql/query-predicates/#std-label-query-predicates-ref
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/tutorial/query-documents/#specify-and-conditions
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/reference/operator/query/lt/#mongodb-query-op.-lt
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/reference/mql/query-predicates/comparison/#std-label-query-selectors-comparison
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/tutorial/query-documents/#specify-or-conditions
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/reference/method/db.collection.find/#std-label-type-bracketing
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/tutorial/query-documents/#specify-and-as-well-as-or-conditions
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/reference/operator/query/regex/#mongodb-query-op.-regex
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/tutorial/query-documents/#query-documents-with-mongodb-atlas
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/tutorial/query-documents/#in-the-mongodb-atlas-ui--go-to-the-clusters-page-for-your-project.
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/tutorial/query-documents/#navigate-to-the-collection
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/tutorial/query-documents/#specify-the-filter-field
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/core/csfle/reference/supported-operations/#std-label-csfle-supported-query-operators
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/tutorial/query-documents/#click-apply
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/tutorial/query-documents/#additional-query-tutorials
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/tutorial/query-documents/#behavior
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/tutorial/query-documents/#cursor
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/tutorial/iterate-a-cursor/
正在爬取 (深度 1): http://mongodb.github.io/mongo-scala-driver/2.1/reference/observables/
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/tutorial/query-documents/#concurrent-updates-while-using-a-cursor
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/core/read-isolation-consistency-recency/#std-label-read-isolation-consistency-recency
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/tutorial/query-documents/#read-isolation
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/replication/#std-label-replication
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/reference/method/db.collection.findOne/#mongodb-method-db.collection.findOne
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/reference/operator/aggregation/match/#mongodb-pipeline-pipe.-match
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/core/aggregation-pipeline/#std-label-aggregation-pipeline
正在爬取 (深度 1): https://www.mongodb.com/docs/php-library/upcoming/reference/method/MongoDBCollection-findOne/#mongodb-phpmethod-phpmethod.MongoDB-Collection--findOne--
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/reference/insert-methods/
无法访问 URL https://www.mongodb.com/docs/manual/reference/insert-methods/: 429 Client Error: Too Many Requests for url: https://www.mongodb.com/docs/manual/reference/insert-methods/
正在爬取 (深度 0): https://www.mongodb.com/docs/manual/reference/operator/query/
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/reference/operator/query/ https:/www.mongodb.com/products
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/reference/operator/query/#what-is-mongodb-
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/administration/install-enterprise/#std-label-install-mdb-enterprise
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/administration/install-community/#std-label-install-mdb-community-edition
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/reference/operator/query/#work-with-your-data-in-mongodb
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/reference/operator/query/#deploy-mongodb
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/reference/operator/query/#connect-to-your-deployment
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/reference/connection-string/#std-label-find-connection-string
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/reference/operator/query/#insert--query--update--or-delete-documents
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/crud/#std-label-crud
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/reference/operator/query/#model-your-data
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/data-modeling/#std-label-manual-data-modeling-intro
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/reference/operator/query/#import-your-data
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/reference/operator/query/#aggregate-your-data
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/aggregation/#std-label-aggregation
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/reference/operator/query/#authenticate-a-client
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/core/authentication/#std-label-authentication
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/reference/operator/query/#control-access-to-your-database
无法访问 URL https://www.mongodb.com/docs/manual/reference/operator/query/#control-access-to-your-database: 429 Client Error: Too Many Requests for url: https://www.mongodb.com/docs/manual/#control-access-to-your-database
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/core/authorization/#std-label-authorization
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/reference/operator/query/#encrypt-your-most-sensitive-data
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/core/csfle/#std-label-manual-csfle-feature
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/reference/operator/query/#create-a-cluster
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/reference/operator/query/#scale-out-your-database
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/sharding/#std-label-sharding-introduction
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/reference/operator/query/#go-further-with-mongodb
爬取完成！总共找到 1119 个代码片段。
数据已保存至: NoSQLFeatureKnowledgeBase/mongodb_code_snippets.json
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/sharding/#std-label-sharding-background
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/tutorial/query-documents/#query-result-format
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/core/cursors/#std-label-cursors
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/tutorial/iterate-a-cursor/#std-label-read-operations-cursors
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/tutorial/query-documents/#additional-methods-and-options
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/reference/method/db.collection.findOne/#mongodb-method-db.collection.findOne
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/reference/operator/aggregation/match/#mongodb-pipeline-pipe.-match
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/core/aggregation-pipeline/#std-label-aggregation-pipeline
正在爬取 (深度 1): https://www.mongodb.com/docs/php-library/upcoming/reference/method/MongoDBCollection-findOne/#mongodb-phpmethod-phpmethod.MongoDB-Collection--findOne--
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/reference/insert-methods/
正在爬取 (深度 0): https://www.mongodb.com/docs/manual/reference/operator/query/
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/reference/operator/query/ https:/www.mongodb.com/products
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/reference/operator/query/#what-is-mongodb-
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/administration/install-enterprise/#std-label-install-mdb-enterprise
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/administration/install-community/#std-label-install-mdb-community-edition
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/reference/operator/query/#work-with-your-data-in-mongodb
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/reference/operator/query/#deploy-mongodb
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/reference/operator/query/#connect-to-your-deployment
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/reference/connection-string/#std-label-find-connection-string
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/reference/operator/query/#insert--query--update--or-delete-documents
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/crud/#std-label-crud
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/reference/operator/query/#model-your-data
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/data-modeling/#std-label-manual-data-modeling-intro
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/reference/operator/query/#import-your-data
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/reference/operator/query/#aggregate-your-data
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/aggregation/#std-label-aggregation
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/reference/operator/query/#authenticate-a-client
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/core/authentication/#std-label-authentication
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/reference/operator/query/#control-access-to-your-database
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/core/authorization/#std-label-authorization
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/reference/operator/query/#encrypt-your-most-sensitive-data
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/core/csfle/#std-label-manual-csfle-feature
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/reference/operator/query/#create-a-cluster
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/reference/operator/query/#scale-out-your-database
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/sharding/#std-label-sharding-introduction
正在爬取 (深度 1): https://www.mongodb.com/docs/manual/reference/operator/query/#go-further-with-mongodb
爬取完成！总共找到 1120 个代码片段。
数据已保存至: NoSQLFeatureKnowledgeBase/mongodb_code_snippets.json
